split	fold	model	H1	H10	H50	MRR	Recall_at_1pct
Ligand-Morgan-0.5	0	B	0.10679611650485436	0.21359223300970873	0.36893203883495146	0.1546680866625021	0.3037216828478964
Ligand-Morgan-0.5	0	Dstar	0.04854368932038835	0.1650485436893204	0.32038834951456313	0.09587294639628434	0.29975728155339804
Ligand-Morgan-0.5	0	F	0.07766990291262135	0.21359223300970873	0.3592233009708738	0.1182751390224543	0.32313915857605174
Ligand-Morgan-0.5	0	T_L	0.11650485436893204	0.2524271844660194	0.39805825242718446	0.173637885122993	0.3194174757281553
Ligand-Morgan-0.5	0	T_P	0.0	0.0	0.019417475728155338	0.002236682135249267	0.012864077669902912
Ligand-Morgan-0.5	1	B	0.09009009009009009	0.1891891891891892	0.36036036036036034	0.13301797272717164	0.3312312312312312
Ligand-Morgan-0.5	1	Dstar	0.10810810810810811	0.1891891891891892	0.3063063063063063	0.13844428114834573	0.3141141141141141
Ligand-Morgan-0.5	1	F	0.09009009009009009	0.1891891891891892	0.36036036036036034	0.13163477721814712	0.35375375375375373
Ligand-Morgan-0.5	1	T_L	0.09009009009009009	0.22522522522522523	0.36036036036036034	0.14443298620753253	0.3237237237237237
Ligand-Morgan-0.5	1	T_P	0.0	0.0	0.009009009009009009	0.0012574832301285145	0.009009009009009009
Ligand-Morgan-0.5	2	B	0.13761467889908258	0.3119266055045872	0.46788990825688076	0.19954706973390032	0.44663608562691126
Ligand-Morgan-0.5	2	Dstar	0.10091743119266056	0.22018348623853212	0.3761467889908257	0.1455844377452789	0.37477064220183487
Ligand-Morgan-0.5	2	F	0.13761467889908258	0.3119266055045872	0.46788990825688076	0.19954706973390032	0.44663608562691126
Ligand-Morgan-0.5	2	T_L	0.14678899082568808	0.26605504587155965	0.3577981651376147	0.19892161232963262	0.3408256880733945
Ligand-Morgan-0.5	2	T_P	0.0	0.0	0.0	0.0010178280297482687	0.0
Ligand-Morgan-0.5	3	B	0.07894736842105263	0.18421052631578946	0.32456140350877194	0.12008873718402435	0.3055555555555556
Ligand-Morgan-0.5	3	Dstar	0.07894736842105263	0.14035087719298245	0.3157894736842105	0.1029655664129769	0.29532163742690054
Ligand-Morgan-0.5	3	F	0.09649122807017543	0.21929824561403508	0.32456140350877194	0.14068830945865288	0.3055555555555556
Ligand-Morgan-0.5	3	T_L	0.08771929824561403	0.18421052631578946	0.30701754385964913	0.13309951751820537	0.28216374269005845
Ligand-Morgan-0.5	3	T_P	0.0	0.0	0.008771929824561403	0.0014863804549327007	0.0043859649122807015
Ligand-Morgan-0.5	4	B	0.1276595744680851	0.425531914893617	0.5212765957446809	0.22340452146258635	0.4936676798378926
Ligand-Morgan-0.5	4	Dstar	0.1595744680851064	0.3191489361702128	0.48936170212765956	0.220173879148247	0.44744174265450865
Ligand-Morgan-0.5	4	F	0.11702127659574468	0.43617021276595747	0.5319148936170213	0.22550104481368138	0.4936676798378926
Ligand-Morgan-0.5	4	T_L	0.1276595744680851	0.3723404255319149	0.5319148936170213	0.216220314069346	0.5002532928064843
Ligand-Morgan-0.5	4	T_P	0.0	0.0	0.010638297872340425	0.0017139067124982543	0.026595744680851064
Random-edge	0	B	0.17721518987341772	0.4240506329113924	0.5443037974683544	0.25813167468111	0.5421940928270043
Random-edge	0	Dstar	0.16455696202531644	0.35443037974683544	0.4936708860759494	0.21824433444239205	0.4894514767932489
Random-edge	0	F	0.17088607594936708	0.4177215189873418	0.5379746835443038	0.2624783994465866	0.5421940928270043
Random-edge	0	T_L	0.17721518987341772	0.3860759493670886	0.46835443037974683	0.2508516140847257	0.46835443037974683
Random-edge	0	T_P	0.04430379746835443	0.17088607594936708	0.23417721518987342	0.08348913626263406	0.2320675105485232
Random-edge	1	B	0.2222222222222222	0.46405228758169936	0.6601307189542484	0.30724278442588054	0.6492374727668845
Random-edge	1	Dstar	0.1437908496732026	0.40522875816993464	0.5686274509803921	0.23243754691195312	0.5708061002178649
Random-edge	1	F	0.20915032679738563	0.49019607843137253	0.673202614379085	0.3148906118556761	0.6590413943355119
Random-edge	1	T_L	0.1895424836601307	0.42483660130718953	0.5098039215686274	0.26743023789105036	0.5087145969498911
