split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	T_P	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	6457	1	3021	0.0	0.0	0.0	0.0003310162197947	0.0
Random-edge	0	T_L	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	B	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	F	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_P	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	6455	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	T_L	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	6455	1	2021	0.0	0.0	0.0	0.0004948045522018	0.0
Random-edge	0	Dstar	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	6455	1	79	0.0	0.0	0.0	0.0126582278481012	0.0
Random-edge	0	B	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	6455	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	F	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	6455	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	T_P	C(=O)(N)N	6457	1	2065	0.0	0.0	0.0	0.0004842615012106	0.0
Random-edge	0	T_L	C(=O)(N)N	6457	1	2332	0.0	0.0	0.0	0.0004288164665523	0.0
Random-edge	0	Dstar	C(=O)(N)N	6457	1	5929	0.0	0.0	0.0	0.0001686625063248	0.0
Random-edge	0	B	C(=O)(N)N	6457	1	5966	0.0	0.0	0.0	0.0001676164934629	0.0
Random-edge	0	F	C(=O)(N)N	6457	1	5966	0.0	0.0	0.0	0.0001676164934629	0.0
Random-edge	0	T_P	C(=O)(O)[O-].[Na+]	6457	1	3336	0.0	0.0	0.0	0.0002997601918465	0.0
Random-edge	0	T_L	C(=O)(O)[O-].[Na+]	6457	1	3521	0.0	0.0	0.0	0.000284010224368	0.0
Random-edge	0	Dstar	C(=O)(O)[O-].[Na+]	6457	1	2726	0.0	0.0	0.0	0.0003668378576669	0.0
Random-edge	0	B	C(=O)(O)[O-].[Na+]	6457	1	2670	0.0	0.0	0.0	0.0003745318352059	0.0
Random-edge	0	F	C(=O)(O)[O-].[Na+]	6457	1	2670	0.0	0.0	0.0	0.0003745318352059	0.0
Random-edge	0	T_P	C(C(=O)O)P(=O)(O)O	6457	1	2996	0.0	0.0	0.0	0.0003337783711615	0.0
Random-edge	0	T_L	C(C(=O)O)P(=O)(O)O	6457	1	3204	0.0	0.0	0.0	0.0003121098626716	0.0
