split	fold	query_id	ligand_group	split_unit	B	C	Dstar	F	support	support_type	support_bin
TF-50	0	C(=C\C(=O)[O-])\C=C(/C(=O)[O-])\Cl	C(=C\C(=O)[O-])\C=C(/C(=O)[O-])\Cl	responder_cluster_50_00149	6.0	530.0	868.0	11.0	0.3193469387755102	sequence_idcov	[0.2,0.4)
TF-50	0	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	responder_cluster_50_00149	11.0	529.0	490.0	13.0	0.3056326530612245	sequence_idcov	[0.2,0.4)
TF-50	0	C(=O)(O)[O-].[Na+]	C(=O)(O)[O-].[Na+]	responder_cluster_50_01406	46.0	3504.0	56.0	37.0		sequence_idcov	unanchored
TF-50	0	C(=[N-])=O	C(=[N-])=O	responder_cluster_50_01004	486.0	2257.0	626.0	486.0		sequence_idcov	unanchored
TF-50	0	C(C(=O)O)C(=O)O	C(C(=O)O)C(=O)O	responder_cluster_50_00851	1932.0	2108.0	3560.0	1935.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	responder_cluster_50_00851	124.0	2104.0	3970.0	124.0	0.1903722943722943	sequence_idcov	[0.0,0.2)
TF-50	0	C(C(=O)[O-])[NH3+]	C(C(=O)[O-])[NH3+]	responder_cluster_50_00023	1098.0	4652.0	1158.0	1094.0		sequence_idcov	unanchored
TF-50	0	C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O	C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O	responder_cluster_50_00975	1141.0	4760.0	1177.0	1141.0		sequence_idcov	unanchored
TF-50	0	C(C1=CC(=CC=C1O)O)C(=O)O	C(C1=CC(=CC=C1O)O)C(=O)O	responder_cluster_50_00865	10.0	1872.0	37.0	7.0		sequence_idcov	unanchored
TF-50	0	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O	responder_cluster_50_01990	5754.0	5932.0	1569.0	5747.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)O	C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)O	responder_cluster_50_00975	1063.0	4760.0	1111.0	1062.0		sequence_idcov	unanchored
TF-50	0	C(CC(=O)[O-])C(=O)C(=O)[O-]	C(CC(=O)[O-])C(=O)C(=O)[O-]	responder_cluster_50_00039	673.0	4804.0	757.0	673.0		sequence_idcov	unanchored
TF-50	0	C(CCCN)CCCN	C(CCCN)CCCN	responder_cluster_50_01618	547.0	4297.0	652.0	547.0		sequence_idcov	unanchored
TF-50	0	C(CCCN)CCN	C(CCCN)CCN	responder_cluster_50_01618	617.0	4297.0	720.0	617.0		sequence_idcov	unanchored
TF-50	0	C(CCN)CCN	C(CCN)CCN	responder_cluster_50_01618	4162.0	4296.0	732.0	4149.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(CCN)CN	C(CCN)CN	responder_cluster_50_01618	4162.0	4296.0	891.0	4151.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(CCN)C[C@@H](C(=O)O)N	C(CCN)C[C@@H](C(=O)O)N	responder_cluster_50_01416	4.0	3536.0	4.0	4.0	0.3324175084175084	sequence_idcov	[0.2,0.4)
TF-50	0	C(CCNCCCN)CN	C(CCNCCCN)CN	responder_cluster_50_00637	1241.0	1333.0	18.0	1206.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(CCNCCCN)CNCCCN	C(CCNCCCN)CNCCCN	responder_cluster_50_00637	17.0	1334.0	17.0	13.0		sequence_idcov	unanchored
TF-50	0	C(CS)C(C(=O)O)N	C(CS)C(C(=O)O)N	responder_cluster_50_00046	1969.0	2173.0	2101.0	1969.0		sequence_idcov	unanchored
TF-50	0	C(CS)[C@@H](C(=O)O)N	C(CS)[C@@H](C(=O)O)N	responder_cluster_50_00046	1189.0	1301.0	1186.0	1190.0	0.0	sequence_idcov	[0.0,0.2)
TF-50	0	C(C[C@@H](C(=O)O)N)CN=C(N)N	C(C[C@@H](C(=O)O)N)CN=C(N)N	responder_cluster_50_01416	27.0	3533.0	3.0	19.0	0.3324175084175084	sequence_idcov	[0.2,0.4)
TF-50	0	C(C[C@@H](C(=O)O)N[C@H](CCC(=O)O)C(=O)O)CN=C(N)N	C(C[C@@H](C(=O)O)N[C@H](CCC(=O)O)C(=O)O)CN=C(N)N	responder_cluster_50_00824	109.0	1736.0	121.0	107.0		sequence_idcov	unanchored
TF-50	0	C([C@@H](C(=O)O)N)S	C([C@@H](C(=O)O)N)S	responder_cluster_50_01879	4238.0	5326.0	4307.0	4238.0		sequence_idcov	unanchored
