split	support_type	support_bin	model	query_count	group_count	H10	H10_ci_low	H10_ci_high	MRR
TF-50	sequence_idcov	[0.2,0.4)	F	67	31	0.5074626865671642	0.359375	0.6615384615384615	0.2665217485183014
TF-50	sequence_idcov	[0.2,0.4)	B	67	31	0.5074626865671642	0.3432835820895522	0.6774193548387096	0.1944194490252304
TF-50	sequence_idcov	[0.2,0.4)	C	67	31	0.0	0.0	0.0	0.0008576602443417
TF-50	sequence_idcov	[0.2,0.4)	Dstar	67	31	0.1940298507462686	0.0933076923076923	0.3181818181818182	0.0632440692192624
TF-50	sequence_idcov	unanchored	F	445	445	0.1101123595505618	0.0808988764044943	0.1415730337078651	0.057047909294584
TF-50	sequence_idcov	unanchored	B	445	445	0.047191011235955	0.0269662921348314	0.0696629213483146	0.0251132193311089
TF-50	sequence_idcov	unanchored	C	445	445	0.0	0.0	0.0	0.0007467119173339
TF-50	sequence_idcov	unanchored	Dstar	445	445	0.0382022471910112	0.0224719101123595	0.0561797752808988	0.0180946743762068
TF-50	sequence_idcov	[0.0,0.2)	F	184	87	0.0054347826086956	0.0	0.0173410404624277	0.0087165880359639
TF-50	sequence_idcov	[0.0,0.2)	B	184	87	0.0054347826086956	0.0	0.0175438596491228	0.0084867054296329
TF-50	sequence_idcov	[0.0,0.2)	C	184	87	0.0	0.0	0.0	0.0016065139055553
TF-50	sequence_idcov	[0.0,0.2)	Dstar	184	87	0.0163043478260869	0.0	0.0380486754573532	0.0093249776021984
TF-50	sequence_idcov	[0.4,0.5)	F	10	5	0.9	0.7	1.0	0.4671428571428572
TF-50	sequence_idcov	[0.4,0.5)	B	10	5	0.8	0.6	1.0	0.4376984126984126
TF-50	sequence_idcov	[0.4,0.5)	C	10	5	0.0	0.0	0.0	0.0006113403654536
TF-50	sequence_idcov	[0.4,0.5)	Dstar	10	5	0.3	0.1	0.5	0.2173891988190191
Ligand-Morgan-0.5	morgan_tanimoto	[0.2,0.4)	F	126	74	0.4523809523809524	0.3492943129929431	0.5748080708661417	0.2483440240373212
Ligand-Morgan-0.5	morgan_tanimoto	[0.2,0.4)	B	126	74	0.4047619047619047	0.3023213986949974	0.5178571428571429	0.239029453878517
Ligand-Morgan-0.5	morgan_tanimoto	[0.2,0.4)	C	126	74	0.5555555555555556	0.4592592592592592	0.6637205324607719	0.3308957007642139
Ligand-Morgan-0.5	morgan_tanimoto	[0.2,0.4)	Dstar	126	74	0.365079365079365	0.2589835028528901	0.4878190584231422	0.2535077935760961
Ligand-Morgan-0.5	morgan_tanimoto	[0.0,0.2)	F	71	57	0.0422535211267605	0.0	0.0952544031311153	0.0292991396986609
Ligand-Morgan-0.5	morgan_tanimoto	[0.0,0.2)	B	71	57	0.0422535211267605	0.0	0.0933333333333333	0.0175993319585565
Ligand-Morgan-0.5	morgan_tanimoto	[0.0,0.2)	C	71	57	0.0422535211267605	0.0	0.0967741935483871	0.0323045717004574
Ligand-Morgan-0.5	morgan_tanimoto	[0.0,0.2)	Dstar	71	57	0.1408450704225352	0.0657894736842105	0.2307692307692307	0.096976469952446
Ligand-Morgan-0.5	morgan_tanimoto	unanchored	F	271	116	0.088560885608856	0.0474215298767728	0.1411775931746744	0.0394130913724433
Ligand-Morgan-0.5	morgan_tanimoto	unanchored	B	271	116	0.088560885608856	0.04597554539057	0.1423066064370411	0.0418067238338247
Ligand-Morgan-0.5	morgan_tanimoto	unanchored	C	271	116	0.0	0.0	0.0	0.0005318241569675
Ligand-Morgan-0.5	morgan_tanimoto	unanchored	Dstar	271	116	0.029520295202952	0.0079043602751237	0.0615495867768594	0.01141718447028
Ligand-Morgan-0.5	morgan_tanimoto	[0.4,0.5)	F	63	46	0.9365079365079364	0.873015873015873	0.9855072463768116	0.6623406662389714
Ligand-Morgan-0.5	morgan_tanimoto	[0.4,0.5)	B	63	46	0.9523809523809524	0.8909090909090909	1.0	0.7053919625348197
Ligand-Morgan-0.5	morgan_tanimoto	[0.4,0.5)	C	63	46	1.0	1.0	1.0	0.7455026455026456
Ligand-Morgan-0.5	morgan_tanimoto	[0.4,0.5)	Dstar	63	46	0.6984126984126984	0.560590909090909	0.8059821858449686	0.5019679882996189
