family	replicate	protein_locality	chemical_locality
AraC/XylS	0	0.2769999999999999	0.0890774307754468
Fur	0	0.5350317567567567	0.1294306940487496
GntR	0	0.0	0.0999214684031051
LacI/GalR	0	0.1610095586371194	0.0663776528211198
LysR	0	0.0674914883615313	0.0935722728639048
MarR	0	0.0	0.0802895893363205
NtrC/XylR	0	0.6134962768565767	0.0983124581960261
TetR	0	0.0112713331340627	0.0964559136437229
AraC/XylS	1	0.987	0.115229147893751
Fur	1	0.1960122699386503	0.0861271588045501
GntR	1	0.1009089219330855	0.0886814735110535
LacI/GalR	1	0.0	0.0744626143584898
LysR	1	0.1581171019466518	0.1001717577520629
MarR	1	0.0	0.0980330622807565
NtrC/XylR	1	0.4301162656508507	0.1101940595671805
TetR	1	0.0202072961933797	0.083288293980326
AraC/XylS	2	0.0	0.0841349239948447
Fur	2	0.5414197613721103	0.0633288705099237
GntR	2	0.0	0.0793071208803691
IclR	2	0.2402482269503546	0.1089923026528247
LacI/GalR	2	0.0	0.1459642625475821
LysR	2	0.0492474679142912	0.0980800654004199
MarR	2	0.0584269005847953	0.1052428398378536
NtrC/XylR	2	0.6862883491588367	0.0970470829975267
TetR	2	0.0170599894078583	0.0913442764980696
AraC/XylS	3	0.0	0.109644084807162
Fur	3	0.217108951815483	0.0973168918322466
GntR	3	0.0	0.1134796342019712
IclR	3	0.3979491803278688	0.0939808330657473
LacI/GalR	3	0.0	0.1095900915344296
LysR	3	0.1243354868518739	0.1456904308495982
MarR	3	0.0	0.0880020969683829
NtrC/XylR	3	0.7299301665108048	0.0731240472110979
TetR	3	0.0467306067962324	0.0833889152179297
AraC/XylS	4	0.0352649006622516	0.113929389550936
Fur	4	0.188007823294204	0.1440403829752893
GntR	4	0.0	0.1329196869238558
IclR	4	0.2279494584837545	0.0975660746172409
LacI/GalR	4	0.139195652173913	0.0748900905780011
LysR	4	0.2003069145110468	0.08954418097683
MarR	4	0.0	0.0960112579538807
NtrC/XylR	4	0.3073148721980698	0.1209646882486045
TetR	4	0.013529258912649	0.0927552452961157
AraC/XylS	5	0.8340000000000001	0.1019685013189398
Fur	5	0.2646454882301656	0.0413056902779688
GntR	5	0.0	0.1568477244863697
LacI/GalR	5	0.2645928143712575	0.1901696261070155
LysR	5	0.1805193832085488	0.0733017446697523
MarR	5	0.0	0.0864171245144372
NtrC/XylR	5	0.5983898618086275	0.0790508914165772
TetR	5	0.0116879380990567	0.0974743671954228
AraC/XylS	6	0.417	0.1199164264536813
Fur	6	0.4816212954333643	0.1265239519587346
GntR	6	0.0	0.0764530642704807
IclR	6	0.2916494845360824	0.1370601562047372
LacI/GalR	6	0.0	0.0800063919322836
LysR	6	0.065725374287512	0.104747362132728
MarR	6	0.0	0.0840428324556641
TetR	6	0.0150161246996998	0.1123228766660123
AraC/XylS	7	0.417	0.1158381611513304
GntR	7	0.0	0.1066864905821074
IclR	7	0.1066965648854961	0.1252624951933327
LacI/GalR	7	0.0	0.0984258639812906
LysR	7	0.0302726654455411	0.0680765190061415
MarR	7	0.0	0.0804718055303203
NtrC/XylR	7	0.7440076079750727	0.1048876208082507
TetR	7	0.0156104517696874	0.098813456020803
AraC/XylS	8	0.0	0.1046220361280333
Fur	8	0.3062890930786932	0.0836858974358974
GntR	8	0.0	0.0671091253195505
LacI/GalR	8	0.0	0.1064290595687678
LysR	8	0.0959126789332709	0.1018356799249728
MarR	8	0.0262222222222222	0.0811218888831863
NtrC/XylR	8	0.857474245115453	0.1073818675845827
TetR	8	0.0205567069943891	0.0972100388366235
AraC/XylS	9	0.0	0.102876828096005
Fur	9	0.0	0.0579241161406201
IclR	9	0.0	0.0703346165179174
LacI/GalR	9	0.1815240625555358	0.1110150694052116
LysR	9	0.182597974526401	0.1021149228976399
MarR	9	0.0786666666666666	0.1049453904899236
NtrC/XylR	9	0.584074672468752	0.0790259255967049
TetR	9	0.0109576980004656	0.0937359061174128
AraC/XylS	10	0.0	0.1313162956939702
Fur	10	0.1529594594594594	0.0924719042252073
GntR	10	0.0	0.0850546911733139
IclR	10	0.0	0.0537676774160654
LacI/GalR	10	0.0	0.0923560326321799
LysR	10	0.1123744823883767	0.1023499941713765
MarR	10	0.0196666666666666	0.0898233499856813
NtrC/XylR	10	0.3322184012761099	0.1149370707444946
TetR	10	0.0106509973712695	0.0906324892436034
AraC/XylS	11	0.6070000000000001	0.0716951690649371
Fur	11	0.337725352112676	0.159391156030172
GntR	11	0.0	0.1061843426065175
LysR	11	0.0569566418852526	0.0915853236244186
MarR	11	0.0	0.0804944491868589
NtrC/XylR	11	0.6667216931973104	0.1100413360574715
TetR	11	0.0056750986227005	0.0863857764531811
AraC/XylS	12	0.0458411214953271	0.1413336149656213
Fur	12	0.1541879194630872	0.1037698801640606
GntR	12	0.0	0.0726361611764497
LacI/GalR	12	0.2424598831451772	0.0695131514792961
LysR	12	0.1935485929551831	0.1322296879515503
MarR	12	0.0	0.0812744026924144
NtrC/XylR	12	0.3701445203312062	0.0750802305975432
TetR	12	0.0138487415377905	0.0864928333204171
AraC/XylS	13	0.0	0.0871175749628908
Fur	13	0.25587	0.1829176295467683
GntR	13	0.0	0.078246186764452
LacI/GalR	13	0.036055394990366	0.0620130240867109
LysR	13	0.0780033538952278	0.1259942749858772
MarR	13	0.0	0.1202626469668189
NtrC/XylR	13	0.7440076079750727	0.0890471655543897
TetR	13	0.0175617110867119	0.0885051676058985
AraC/XylS	14	0.278	0.1093140289784922
Fur	14	0.0980061349693251	0.1186341203147925
GntR	14	0.0	0.1001540346031834
IclR	14	0.0	0.0746018809049052
LacI/GalR	14	0.1008194444444444	0.0940255774428652
LysR	14	0.1049105568036537	0.1119321353427856
MarR	14	0.1426944444444444	0.0818141704755648
NtrC/XylR	14	0.4302856059210793	0.0898406070109525
TetR	14	0.0152986462268324	0.0986491153280511
AraC/XylS	15	0.0458411214953271	0.1422450518339661
Fur	15	0.3186909196378042	0.0843147881308737
IclR	15	0.0118551738761662	0.1193575011866438
LysR	15	0.0826429588908481	0.1177362481276742
MarR	15	0.0	0.1015040949703856
NtrC/XylR	15	0.4224575637435786	0.1175215335511542
TetR	15	0.0156444799774766	0.1034488806243571
AraC/XylS	16	0.1751667061203748	0.0965310367884863
Fur	16	0.2273716699193375	0.0733965115591302
GntR	16	0.4195	0.1023928797993222
IclR	16	0.2079587628865979	0.1055581698194091
LacI/GalR	16	0.0952138888888888	0.1426851192701902
LysR	16	0.0930746026907818	0.0865514925776451
MarR	16	0.0	0.0770331604369233
NtrC/XylR	16	0.7128347978910369	0.0643170623549646
TetR	16	0.0079337126054912	0.090442113776022
AraC/XylS	17	0.45525	0.1114412697384127
Fur	17	0.1960122699386503	0.0761759405883829
GntR	17	0.0	0.1159372521410967
IclR	17	0.0	0.0648925739002573
LacI/GalR	17	0.0	0.131029052924166
LysR	17	0.1204927512524487	0.1084338021697453
MarR	17	0.0	0.089470583447582
NtrC/XylR	17	0.7603906534684785	0.0867046458299347
TetR	17	0.0206779499837888	0.0754253123886406
AraC/XylS	18	0.8340000000000001	0.1238268228070394
Fur	18	0.2659569416863335	0.1148806954368609
GntR	18	0.0	0.07913512098279
LacI/GalR	18	0.0	0.1058917845967841
LysR	18	0.1681679988242172	0.0915205671284524
MarR	18	0.0786666666666666	0.0859548311379789
NtrC/XylR	18	0.7110522171936032	0.1021090369141019
TetR	18	0.0053639360860623	0.0918566815321973
AraC/XylS	19	0.466794661875042	0.108063695115191
Fur	19	0.499738255033557	0.0630195673924413
GntR	19	0.1655852713178294	0.1347003701645791
IclR	19	0.0	0.056887443130485
LacI/GalR	19	0.1016647342995169	0.0804453435571453
LysR	19	0.1101915959865976	0.1263920639529888
MarR	19	0.0786666666666666	0.095568112388878
NtrC/XylR	19	0.5032443986453126	0.0844380253808207
TetR	19	0.01316023751406	0.0847035580462546
AraC/XylS	20	0.0	0.1139099982538361
Fur	20	0.0696450955694219	0.0673395080371824
GntR	20	0.1485622489959839	0.091290111731008
LacI/GalR	20	0.2492117647058823	0.0829843050563229
LysR	20	0.1850563432878655	0.1241205368027422
MarR	20	0.0	0.0931202896836183
NtrC/XylR	20	0.369514151115355	0.0797416097892153
TetR	20	0.023651988469646	0.0873543212094283
AraC/XylS	21	0.0361782178217821	0.0838254631837666
Fur	21	0.3051168207681365	0.0731812169312169
GntR	21	0.0	0.0913834916425838
IclR	21	0.2564545454545454	0.0874873115448269
LacI/GalR	21	0.0	0.0792541977054089
LysR	21	0.0520279436350609	0.0878322328883912
MarR	21	0.0	0.1054291717369016
NtrC/XylR	21	0.5377759243644835	0.1281435660191195
TetR	21	0.0400555208500824	0.0926616966106212
IclR	22	0.1039793814432989	0.1050766829409821
LacI/GalR	22	0.0736283185840708	0.0832268283857075
LysR	22	0.102493856996963	0.0978642798831771
MarR	22	0.0	0.0861173095242244
NtrC/XylR	22	0.492263646080638	0.1197815581979409
TetR	22	0.0229723349917729	0.0906773478423188
AraC/XylS	23	0.8340000000000001	0.0955399986288466
Fur	23	0.2726680046948356	0.0800865829987693
GntR	23	0.0	0.0924400971740144
LysR	23	0.1390178583933285	0.1415112249209005
MarR	23	0.0	0.0795932565615893
NtrC/XylR	23	0.7536044336297827	0.0995192809685167
TetR	23	0.034364268978279	0.0887418348943423
AraC/XylS	24	0.0458411214953271	0.1177864981580436
Fur	24	0.4130716216216216	0.0728485105250533
GntR	24	0.0394894493668578	0.0918326405484359
IclR	24	0.0	0.1250920305377253
LacI/GalR	24	0.0	0.0835659933310189
LysR	24	0.0843702147347418	0.1140074952176
MarR	24	0.0	0.085597244806678
NtrC/XylR	24	0.545255118243764	0.0964354422367395
TetR	24	0.012442669741544	0.0892648515605979
AraC/XylS	25	0.4935	0.1106778671476153
Fur	25	0.2711549113227658	0.0865144774616593
GntR	25	0.0	0.115113483744749
IclR	25	0.0	0.0799054138560599
LacI/GalR	25	0.2519520958083832	0.0866934910625109
LysR	25	0.0586240795512311	0.1083275855477427
MarR	25	0.0	0.0686914232008416
NtrC/XylR	25	0.519427943090943	0.1015633358737893
TetR	25	0.0329896996486246	0.1073223115609631
Fur	26	0.4545685686529011	0.1232697343808455
GntR	26	0.0	0.1184878640073132
IclR	26	0.0	0.0873409571278687
LacI/GalR	26	0.0	0.0832824715349215
LysR	26	0.2071354702976945	0.0908440705828719
MarR	26	0.0786666666666666	0.0908192007249391
NtrC/XylR	26	0.4998227010815868	0.0869266746423759
TetR	26	0.0296418144153889	0.0866221888057101
AraC/XylS	27	0.3146604361370717	0.1035301061777138
Fur	27	0.2951994649822236	0.1346197262590641
GntR	27	0.0	0.0968634943720135
IclR	27	0.1240421455938697	0.0841955790424901
LacI/GalR	27	0.247	0.0963062339811691
LysR	27	0.0317561964849031	0.1212550944418794
MarR	27	0.0	0.1136814860961199
NtrC/XylR	27	0.6175748418559721	0.0857660622563328
TetR	27	0.0216281203955807	0.0909917651520116
AraC/XylS	28	0.0855825545171339	0.0767085011937857
Fur	28	0.4969866964951528	0.0832495851004978
IclR	28	0.0	0.0836783166542279
LysR	28	0.0926644006980237	0.1129051042591863
MarR	28	0.0	0.0724467392343782
NtrC/XylR	28	0.5035392353136721	0.1088451510363821
TetR	28	0.0071757767944258	0.0969324494561403
AraC/XylS	29	0.0	0.0810803550380288
Fur	29	0.4747117117117116	0.1508794757626756
GntR	29	0.0	0.0990628726366087
IclR	29	0.0	0.0860124392651955
LysR	29	0.1338428210863943	0.0620695016093731
MarR	29	0.0	0.0951298084101828
NtrC/XylR	29	0.5700144339334857	0.1242688607914818
TetR	29	0.0116793422753329	0.1133036353338017
AraC/XylS	30	0.0283525835866261	0.1513302463384541
Fur	30	0.5266040709996468	0.1554233205963545
GntR	30	0.0297124497991967	0.0583904771999468
IclR	30	0.2231942446043165	0.1043334213873836
LacI/GalR	30	0.1008292682926829	0.1192097215936738
LysR	30	0.0385684086516653	0.0942350648565521
MarR	30	0.0	0.0787814165964071
NtrC/XylR	30	0.6831036314663039	0.1593057906807965
TetR	30	0.0142313418302071	0.1087434823652375
AraC/XylS	31	0.4246417445482865	0.0898734423110908
Fur	31	0.399956874616552	0.0762910071441767
GntR	31	0.0	0.0742930771946871
IclR	31	0.0	0.0856332391794978
LacI/GalR	31	0.0	0.1137941839941403
LysR	31	0.0785240019328018	0.1276522292605898
MarR	31	0.0	0.135768060971383
NtrC/XylR	31	0.7106538969679093	0.1247896750026376
TetR	31	0.0416791548650744	0.0935379899632154
AraC/XylS	32	0.909	0.0778734915140296
Fur	32	0.2054849332090711	0.1331791932386159
GntR	32	0.2361882352941176	0.1060125785411819
IclR	32	0.0	0.0919907573117753
LacI/GalR	32	0.0	0.0895971644650673
LysR	32	0.111502842492274	0.1156451078856068
MarR	32	0.0	0.1208713608249011
NtrC/XylR	32	0.4363442900840616	0.1084002728391838
TetR	32	0.0441564291044916	0.1001568169512868
AraC/XylS	33	0.0	0.1131246955706388
Fur	33	0.3772558253555568	0.050427450673756
GntR	33	0.3985930232558139	0.088943291732157
IclR	33	0.2916494845360824	0.0667179921936401
LacI/GalR	33	0.0388019607843137	0.1239186630493851
LysR	33	0.1461113446702764	0.1213298614579034
MarR	33	0.0	0.0866285343007374
NtrC/XylR	33	0.5376187347801475	0.0710259237603366
TetR	33	0.0052672011864225	0.0933868075062241
AraC/XylS	34	0.0	0.081158018762019
Fur	34	0.5020795973154363	0.1328908545107099
IclR	34	0.0	0.0991613969498882
LacI/GalR	34	0.0358534743202416	0.1321017783305145
LysR	34	0.1830186673251949	0.1357908945847731
MarR	34	0.0	0.1050418733375823
NtrC/XylR	34	0.488382375975087	0.0794420959085922
TetR	34	0.0103722655545359	0.0980083280831349
AraC/XylS	35	0.4155	0.1151122321570281
Fur	35	0.4202374794148988	0.0981876560763232
GntR	35	0.0	0.1089009107522168
LacI/GalR	35	0.1864548104956268	0.0904062276900877
LysR	35	0.0389686286669542	0.0922063187373647
MarR	35	0.0	0.1178372487154573
NtrC/XylR	35	0.5100213606776307	0.0800893689109556
TetR	35	0.0126818424351811	0.1122039201181398
AraC/XylS	36	0.220221183800623	0.1152003223239808
Fur	36	0.2339788399657936	0.0588927269994912
GntR	36	0.0	0.1425503258618529
LacI/GalR	36	0.0	0.0713106726103311
LysR	36	0.0705703971911345	0.0874212258354701
MarR	36	0.0	0.1169070985153423
NtrC/XylR	36	0.5730036652164303	0.1405904391867676
TetR	36	0.0193258649016382	0.0790039576805851
AraC/XylS	37	0.0	0.1077568168312022
Fur	37	0.1710582559712029	0.0905735495339825
GntR	37	0.0	0.1235294105290793
IclR	37	0.0	0.0780670240187187
LysR	37	0.1417979135515087	0.0962115125273678
NtrC/XylR	37	0.1890158172231986	0.1129561974296049
TetR	37	0.0223745375475742	0.0961972104922458
AraC/XylS	38	0.0	0.0784404234650202
Fur	38	0.3033243243243243	0.0865527201254731
GntR	38	0.0	0.0931454973803618
LacI/GalR	38	0.0	0.097128475733901
LysR	38	0.1592728666680974	0.0986058311306251
MarR	38	0.0	0.1003706353109893
NtrC/XylR	38	0.607135168377368	0.223243932514373
TetR	38	0.0116912024821127	0.1053427484454178
AraC/XylS	39	0.0	0.1200867830303186
Fur	39	0.1103172413793103	0.1126498834515199
GntR	39	0.1008921933085501	0.0918201676385968
IclR	39	0.0600620567375886	0.1322664405370883
LacI/GalR	39	0.0	0.076153261483881
LysR	39	0.1897937689408764	0.1241924651586914
MarR	39	0.0292198830409356	0.083893932475351
NtrC/XylR	39	0.4360512203726704	0.1236536350574837
TetR	39	0.008304347820876	0.0857675603985306
AraC/XylS	40	0.0	0.0761095078272364
Fur	40	0.0	0.0903074352548036
LacI/GalR	40	0.0	0.1152473885403874
LysR	40	0.0751421953013649	0.1282028879277764
MarR	40	0.0983075757575757	0.0847047052153763
NtrC/XylR	40	0.5495577498227114	0.0551430624499874
TetR	40	0.0216349382373317	0.0970615873538783
AraC/XylS	41	0.0	0.1598693556020523
GntR	41	0.0	0.1125140817821765
IclR	41	0.2097482014388489	0.1091934702945487
LacI/GalR	41	0.0993236151603498	0.0593158353585539
LysR	41	0.1202566852081421	0.0958957148711726
MarR	41	0.0	0.0978651291524781
NtrC/XylR	41	0.7536044336297827	0.070361234279163
TetR	41	0.0104698058083437	0.1045564174472468
AraC/XylS	42	0.6965472481827621	0.0792782313418758
Fur	42	0.2039311001165424	0.1305672513532704
GntR	42	0.0	0.1007352468773352
IclR	42	0.0	0.065342923920726
LysR	42	0.1699485927268131	0.1025174767897103
MarR	42	0.1352762430939226	0.0935454865473305
NtrC/XylR	42	0.3585477547399182	0.1579968145869409
TetR	42	0.0120855069061423	0.0951251375407962
AraC/XylS	43	0.0	0.1024783475739479
Fur	43	0.2953289473684211	0.0980241927099578
GntR	43	0.1291728624535316	0.0976916798865693
IclR	43	0.0	0.1194967512416282
LacI/GalR	43	0.0	0.1193724393199249
LysR	43	0.1045614048535321	0.1016662901372512
MarR	43	0.0	0.0880431680126866
NtrC/XylR	43	0.3097320946556489	0.0934980274004797
TetR	43	0.0384539719156505	0.0979878058912829
Fur	44	0.218964664137822	0.0751221405159238
GntR	44	0.1551325301204819	0.1143468560168905
IclR	44	0.0	0.152630291836519
LacI/GalR	44	0.1025072886297376	0.1855525102519216
LysR	44	0.0713933722935664	0.0883918292393319
MarR	44	0.0146067251461988	0.0864172365797471
NtrC/XylR	44	0.7213824822009208	0.0971177013981724
TetR	44	0.0231380668842283	0.0916860020751894
AraC/XylS	45	0.2733109712840443	0.1072646318610261
Fur	45	0.5309108333333333	0.0896808266599933
GntR	45	0.0	0.1224979130321593
IclR	45	0.1788015267175572	0.0896558688076662
LacI/GalR	45	0.0	0.1073950308455612
LysR	45	0.0808557401262148	0.0842100975772293
MarR	45	0.0171313131313131	0.1083600101476422
NtrC/XylR	45	0.4490882582677789	0.1122949847858403
TetR	45	0.0077731559764961	0.0925992320659732
AraC/XylS	46	0.0352649006622516	0.1061802320270714
Fur	46	0.2489624793449986	0.1257464218284117
GntR	46	0.0566536964980544	0.105498104789082
IclR	46	0.0	0.0928077951636784
LacI/GalR	46	0.0	0.0987080399850542
LysR	46	0.0629968152866242	0.0892459815285727
MarR	46	0.0	0.1196101583773738
