record_type	analysis_universe	statistic	observed	null_mean	effect	interval_low	interval_high	monte_carlo_p	sweeps	movable_strata	fixed_strata	movable_edges	nonexchangeable_edges	gate_status	note
analysis_sample_size	full	chemical_graph_locality	160.0		1022.0										Observed gives eligible exact-protein nodes; effect gives within-node ligand pairs.
analysis_sample_size	full	protein_graph_locality	171.0		702.0										Observed gives eligible ligand nodes; effect gives within-node protein pairs.
convergence	direct_mechanistic	chemical_graph_mean_30_vs_60_sweeps			0.0001186029288254	-0.0004902493724669	0.0007274552301177		60.0					pass	Paired convergence comparison with n30=1000 and n60=1000.
convergence	direct_mechanistic	protein_graph_mean_30_vs_60_sweeps			0.000128971738786	-0.0001482149751067	0.0004061584526789		60.0					pass	Paired convergence comparison with n30=1000 and n60=1000.
convergence	full	chemical_graph_mean_30_vs_60_sweeps			0.0005570750354514	9.754820267695128e-05	0.0010166018682259		60.0					pass	Paired convergence comparison with n30=1000 and n60=1000.
convergence	full	protein_graph_mean_30_vs_60_sweeps			-0.0002016900050444	-0.0005310391381348	0.000127659128046		60.0					pass	Paired convergence comparison with n30=1000 and n60=1000.
enrichment	direct_mechanistic	chemical_fraction_ge_0.2	0.7109566180203298	0.0766212822871418	0.634335335733188	0.0379633525428519	0.1224829238087751	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	chemical_fraction_ge_0.4	0.5128359508553415	0.0231174047687242	0.4897185460866172	0.0038163939620905	0.0512882968241508	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	chemical_graph_mean	0.4671863241566185	0.0980771736756144	0.3691091504810041	0.4120657696417995	0.5244191685233253	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	chemical_graph_median	0.4231728893617707	0.0807462745602914	0.3424266148014792	0.0725542672772992	0.0895427370641228	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	protein_fraction_ge_0.2	0.3217676067190629	0.0124026090306672	0.3093649976883956	0.0006472491909385	0.033796232085067	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	protein_fraction_ge_0.3	0.2742179072276159	0.0061772183695484	0.2680406888580674	0.0	0.0226537216828478	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	protein_fraction_ge_0.4	0.2030204962243797	0.0025683556788411	0.2004521405455386	0.0	0.0123044768069038	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	protein_graph_mean	0.1905642477044025	0.0066266303706535	0.1839376173337489	0.1397175579933927	0.2498440044390453	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	direct_mechanistic	protein_graph_median	0.0	0.0	0.0	0.0	0.0	1.0	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	chemical_fraction_ge_0.2	0.7300495291816886	0.0860630869686063	0.6439864422130823	0.0539353384205814	0.1215485612858629	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	chemical_fraction_ge_0.4	0.4732375851058126	0.0218511641706785	0.4513864209351341	0.0063526857081216	0.0415838332454928	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	chemical_graph_mean	0.4390809067540553	0.0982717189706763	0.340809187783379	0.3967449399966976	0.4876630403221377	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	chemical_graph_median	0.3707222601959444	0.0822611448742586	0.2884611153216858	0.0749999999999999	0.0897023165147466	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	protein_fraction_ge_0.2	0.39770255735168	0.0180394154545908	0.3796631418970891	0.004559589208712	0.0360316145842461	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	protein_fraction_ge_0.3	0.3436337541600699	0.0122977296679928	0.3313360244920771	0.001780731451784	0.0276733638356445	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	protein_fraction_ge_0.4	0.2821116829888759	0.008979974541378	0.2731317084474979	0.0008418482102692	0.022027290448343	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	protein_graph_mean	0.249720218114937	0.0104921146432768	0.2392281034716601	0.2027343210906904	0.3003709972913439	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
enrichment	full	protein_graph_median	0.1024028268551236	0.0	0.1024028268551236	0.0	0.0	9.99900009999e-05	30.0					pass	Observed association locality versus the stratified edge-swap null.
null_audit	direct_mechanistic	degree_and_exact_source_set_constrained_edge_swap							30.0	16.0	8.0	569.0	9.0	pass	10000 Monte Carlo null graphs; 24 strata.
null_audit	full	degree_and_exact_source_set_constrained_edge_swap							30.0	19.0	5.0	868.0	6.0	pass	10000 Monte Carlo null graphs; 24 strata.
