encoder	split	fold	n_queries	H@10	H@50	MRR
esm2_650m	Ligand-Morgan-0.5	0	103	0.1650485436893204	0.32038834951456313	0.09587294639628438
esm2_650m	Ligand-Morgan-0.5	1	111	0.1891891891891892	0.3063063063063063	0.13844428114834575
esm2_650m	Ligand-Morgan-0.5	2	109	0.22018348623853212	0.3761467889908257	0.14558443774527893
esm2_650m	Ligand-Morgan-0.5	3	114	0.14035087719298245	0.3157894736842105	0.10296556641297694
esm2_650m	Ligand-Morgan-0.5	4	94	0.3191489361702128	0.48936170212765956	0.22017387914824701
esm2_650m	Random-edge	0	158	0.35443037974683544	0.4936708860759494	0.2182443344423921
esm2_650m	Random-edge	1	153	0.40522875816993464	0.5686274509803921	0.23243754691195312
esm2_650m	Random-edge	2	152	0.375	0.5131578947368421	0.23466029217106046
esm2_650m	Random-edge	3	145	0.43448275862068964	0.5310344827586206	0.2599516176554758
esm2_650m	Random-edge	4	150	0.36	0.5266666666666666	0.2321242043988627
esm2_650m	TF-50	0	170	0.03529411764705882	0.11176470588235295	0.016808609161324865
esm2_650m	TF-50	1	160	0.06875	0.2375	0.02390836213446934
esm2_650m	TF-50	2	115	0.017391304347826087	0.17391304347826086	0.015165345226734512
esm2_650m	TF-50	3	151	0.06622516556291391	0.1456953642384106	0.028839485143526234
esm2_650m	TF-50	4	110	0.06363636363636363	0.18181818181818182	0.03088720132190984
prosst1024_esmfold	Ligand-Morgan-0.5	0	103	0.1650485436893204	0.2815533980582524	0.08505902233005912
prosst1024_esmfold	Ligand-Morgan-0.5	1	111	0.1891891891891892	0.26126126126126126	0.13121310064124492
prosst1024_esmfold	Ligand-Morgan-0.5	2	109	0.22935779816513763	0.3669724770642202	0.16709157938722227
prosst1024_esmfold	Ligand-Morgan-0.5	3	114	0.07894736842105263	0.22807017543859648	0.07635531273261001
prosst1024_esmfold	Ligand-Morgan-0.5	4	94	0.30851063829787234	0.3723404255319149	0.19757598976767998
prosst1024_esmfold	Random-edge	0	158	0.3227848101265823	0.4810126582278481	0.2088627956128789
prosst1024_esmfold	Random-edge	1	153	0.33986928104575165	0.43137254901960786	0.209959258177795
prosst1024_esmfold	Random-edge	2	152	0.29605263157894735	0.4407894736842105	0.18722816521842264
prosst1024_esmfold	Random-edge	3	145	0.4068965517241379	0.496551724137931	0.2442137364771962
prosst1024_esmfold	Random-edge	4	150	0.30666666666666664	0.42	0.24258598025363848
prosst1024_esmfold	TF-50	0	170	0.01764705882352941	0.08235294117647059	0.008411300646278591
prosst1024_esmfold	TF-50	1	160	0.04375	0.175	0.03570059642670692
prosst1024_esmfold	TF-50	2	115	0.0	0.017391304347826087	0.0038667652926261576
prosst1024_esmfold	TF-50	3	151	0.033112582781456956	0.07947019867549669	0.011164162412709538
prosst1024_esmfold	TF-50	4	110	0.01818181818181818	0.16363636363636364	0.009287725771113893
prosst1024_sequence_only	Ligand-Morgan-0.5	0	103	0.11650485436893204	0.1941747572815534	0.08408292299912866
prosst1024_sequence_only	Ligand-Morgan-0.5	1	111	0.12612612612612611	0.1891891891891892	0.10019058712788902
prosst1024_sequence_only	Ligand-Morgan-0.5	2	109	0.1743119266055046	0.26605504587155965	0.11925683895993429
prosst1024_sequence_only	Ligand-Morgan-0.5	3	114	0.10526315789473684	0.18421052631578946	0.07990294758315233
prosst1024_sequence_only	Ligand-Morgan-0.5	4	94	0.23404255319148937	0.3191489361702128	0.14356539585411648
prosst1024_sequence_only	Random-edge	0	158	0.26582278481012656	0.33544303797468356	0.1872830723312416
prosst1024_sequence_only	Random-edge	1	153	0.2679738562091503	0.37254901960784315	0.18266210103841737
prosst1024_sequence_only	Random-edge	2	152	0.3026315789473684	0.40789473684210525	0.2070189099675498
prosst1024_sequence_only	Random-edge	3	145	0.36551724137931035	0.46206896551724136	0.2731351358925406
prosst1024_sequence_only	Random-edge	4	150	0.2866666666666667	0.38	0.19204086246587587
prosst1024_sequence_only	TF-50	0	170	0.01764705882352941	0.058823529411764705	0.008703925716793489
prosst1024_sequence_only	TF-50	1	160	0.0375	0.075	0.011422508624124526
