encoder	split	n_queries	H@10	H@50	MRR
esm2_650m	Ligand-Morgan-0.5	531	0.2033898305084746	0.3578154425612053	0.13850348702737036
esm2_650m	Random-edge	758	0.38522427440633245	0.5263852242744064	0.23512602790145298
esm2_650m	TF-50	706	0.05099150141643059	0.16855524079320114	0.022916672240931066
prosst1024_esmfold	Ligand-Morgan-0.5	531	0.1902071563088512	0.2994350282485876	0.12959578966866472
prosst1024_esmfold	Random-edge	758	0.3337730870712401	0.45382585751978893	0.2181816070560382
prosst1024_esmfold	TF-50	706	0.024079320113314446	0.1048158640226629	0.014580924795940715
prosst1024_sequence_only	Ligand-Morgan-0.5	531	0.1487758945386064	0.2278719397363465	0.10430277762995309
prosst1024_sequence_only	Random-edge	758	0.29683377308707126	0.39050131926121373	0.20767232886092526
prosst1024_sequence_only	TF-50	706	0.015580736543909348	0.05524079320113314	0.007327601194717938
prosst2048_esmfold	Ligand-Morgan-0.5	531	0.17890772128060264	0.2975517890772128	0.11029778422881874
prosst2048_esmfold	Random-edge	758	0.3482849604221636	0.4894459102902375	0.21341151267366038
prosst2048_esmfold	TF-50	706	0.0339943342776204	0.12464589235127478	0.016715682086446932
prosst2048_sequence_only	Ligand-Morgan-0.5	531	0.15254237288135594	0.2297551789077213	0.10298914537989609
prosst2048_sequence_only	Random-edge	758	0.2796833773087071	0.37467018469656993	0.186873295889294
prosst2048_sequence_only	TF-50	706	0.018413597733711047	0.05099150141643059	0.010307255637786068
prostt5_aa2fold	Ligand-Morgan-0.5	531	0.20903954802259886	0.3465160075329567	0.12282474460183931
prostt5_aa2fold	Random-edge	758	0.3786279683377309	0.5303430079155673	0.234392235396598
prostt5_aa2fold	TF-50	706	0.053824362606232294	0.17847025495750707	0.018816258355741654
