encoder	split	seed	n_queries	H@10	H@50	MRR	support_stratum
esm2_650m	Ligand-Morgan-0.5	42	531	0.18455743879472694	0.3502824858757062	0.11898714490921587	all
esm2_650m	Ligand-Morgan-0.5	20260717	531	0.17325800376647835	0.3220338983050847	0.11168065651270785	all
esm2_650m	Ligand-Morgan-0.5	20260718	531	0.2033898305084746	0.3465160075329567	0.11946283183323993	all
esm2_650m	Random-edge	42	758	0.3403693931398417	0.5105540897097626	0.2097761335384653	all
esm2_650m	Random-edge	20260717	758	0.35356200527704484	0.5158311345646438	0.20425421651368494	all
esm2_650m	Random-edge	20260718	758	0.3562005277044855	0.5197889182058048	0.21364159040408687	all
esm2_650m	TF-50	42	706	0.04815864022662889	0.15155807365439095	0.023905310480392274	all
esm2_650m	TF-50	20260717	706	0.056657223796033995	0.1643059490084986	0.023778708903586666	all
esm2_650m	TF-50	20260718	706	0.046742209631728045	0.13739376770538245	0.025253767996074504	all
prosst1024_esmfold	Ligand-Morgan-0.5	42	531	0.17702448210922786	0.2768361581920904	0.12051549548724311	all
prosst1024_esmfold	Ligand-Morgan-0.5	20260717	531	0.1638418079096045	0.2806026365348399	0.10644456942614684	all
prosst1024_esmfold	Ligand-Morgan-0.5	20260718	531	0.1751412429378531	0.2824858757062147	0.11797507279108307	all
prosst1024_esmfold	Random-edge	42	758	0.3179419525065963	0.44327176781002636	0.20034087699476524	all
prosst1024_esmfold	Random-edge	20260717	758	0.3034300791556728	0.43535620052770446	0.19536044010058606	all
prosst1024_esmfold	Random-edge	20260718	758	0.316622691292876	0.4340369393139842	0.198058002041688	all
prosst1024_esmfold	TF-50	42	706	0.024079320113314446	0.09206798866855524	0.012789850886495521	all
prosst1024_esmfold	TF-50	20260717	706	0.025495750708215296	0.08498583569405099	0.014828335994363713	all
prosst1024_esmfold	TF-50	20260718	706	0.0226628895184136	0.0906515580736544	0.012923837885888344	all
prosst1024_sequence_only	Ligand-Morgan-0.5	42	531	0.15065913370998116	0.21468926553672316	0.0955875646604389	all
prosst1024_sequence_only	Ligand-Morgan-0.5	20260717	531	0.1318267419962335	0.2071563088512241	0.10102818686537594	all
prosst1024_sequence_only	Ligand-Morgan-0.5	20260718	531	0.12994350282485875	0.2184557438794727	0.08910918570307522	all
prosst1024_sequence_only	Random-edge	42	758	0.2691292875989446	0.38522427440633245	0.19031700828882206	all
prosst1024_sequence_only	Random-edge	20260717	758	0.287598944591029	0.3759894459102902	0.18925300551067678	all
prosst1024_sequence_only	Random-edge	20260718	758	0.28232189973614774	0.39313984168865435	0.18346606711631253	all
prosst1024_sequence_only	TF-50	42	706	0.0169971671388102	0.0453257790368272	0.009649102147283635	all
prosst1024_sequence_only	TF-50	20260717	706	0.015580736543909348	0.04107648725212465	0.006029612505342529	all
prosst1024_sequence_only	TF-50	20260718	706	0.009915014164305949	0.049575070821529746	0.006764608311795879	all
prosst2048_esmfold	Ligand-Morgan-0.5	42	531	0.1694915254237288	0.2937853107344633	0.1049148647910365	all
