route	model	n	H10	H50	MRR
both	Dstar	210	0.6571428571428571	0.8	0.36104535048080627
both	B	210	0.5095238095238095	0.780952380952381	0.2624455017531055
both	F	210	0.6476190476190476	0.8095238095238095	0.382691191151634
ligand_only	Dstar	239	0.5146443514644351	0.7154811715481172	0.3240153103532228
ligand_only	B	239	0.6569037656903766	0.7698744769874477	0.45252451529125853
ligand_only	F	239	0.702928870292887	0.7866108786610879	0.4807696873125
neither	Dstar	200	0.06	0.155	0.03374516394246761
neither	B	200	0.1	0.24	0.04453590676489492
neither	F	200	0.085	0.235	0.032808596177471554
protein_only	Dstar	225	0.14666666666666667	0.24888888888888888	0.09983733083797094
protein_only	B	225	0.24	0.36	0.13742715187647014
protein_only	F	225	0.21333333333333335	0.36	0.10428439870073776
