split	fold	query_id	candidate_hash	TP_rank	TL_rank	Dstar_rank	B_rank	F_rank	outer_fold	query_ligand_id	held_out_protein_id	availability_stratum
Random-edge	0	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	75fea6b22da78a37d576fa9fa4872c5b	3021.0	1.0	1.0	1.0	1.0	0	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	75fea6b22da78a37d576fa9fa4872c5b	ligand_only
Random-edge	0	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	44a72d5b9c3b9279cd3b67c3c5596f0a	3.0	2021.0	79.0	1.0	2.0	0	C(=C\C(=O)[O-])\C=C/C(=O)[O-]	44a72d5b9c3b9279cd3b67c3c5596f0a	protein_only
Random-edge	0	C(=O)(N)N	50e5a5685dac1273a7bb776d17d13a18	2065.0	2332.0	5929.0	5966.0	5966.0	0	C(=O)(N)N	50e5a5685dac1273a7bb776d17d13a18	neither
Random-edge	0	C(=O)(O)[O-].[Na+]	822ab385fea96c34acef4c74619d7227	3336.0	3521.0	2726.0	2670.0	2670.0	0	C(=O)(O)[O-].[Na+]	822ab385fea96c34acef4c74619d7227	neither
Random-edge	0	C(C(=O)O)P(=O)(O)O	74ef57b0dc25299082210b267ccd358b	2996.0	3204.0	332.0	278.0	281.0	0	C(C(=O)O)P(=O)(O)O	74ef57b0dc25299082210b267ccd358b	neither
Random-edge	0	C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	75a2facc22cbb3aaaff061320cf7a8a6	3009.0	3216.0	78.0	70.0	71.0	0	C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	75a2facc22cbb3aaaff061320cf7a8a6	neither
Random-edge	0	C(C(=O)[O-])O	3393553806422365e2c79d33fa1fba35	30.0	4.0	18.0	112.0	95.0	0	C(C(=O)[O-])O	3393553806422365e2c79d33fa1fba35	both
Random-edge	0	C(C(C(C(C(=O)C(=O)O)O)O)O)O	557c6d697d503ea7d351216d2441ba93	2195.0	2457.0	2660.0	2585.0	2585.0	0	C(C(C(C(C(=O)C(=O)O)O)O)O)O	557c6d697d503ea7d351216d2441ba93	neither
Random-edge	0	C(C(C1C(=C(C(=O)O1)O)O)O)OP(=O)(O)O	fa6722683dbb832b1c9f0e37fbd9c1a0	6323.0	6331.0	1614.0	1518.0	1518.0	0	C(C(C1C(=C(C(=O)O1)O)O)O)OP(=O)(O)O	fa6722683dbb832b1c9f0e37fbd9c1a0	neither
Random-edge	0	C(C(COP(=O)(O)O)O)O	c8dcc87318ab75c2006480f939687cbe	5118.0	3.0	3167.0	3.0	8.0	0	C(C(COP(=O)(O)O)O)O	c8dcc87318ab75c2006480f939687cbe	ligand_only
Random-edge	0	C(C1C(C(C(C(O1)O)O)O)O)O	d3aabd2bfef2d44bcfe52a4c266a95fb	5379.0	5439.0	2353.0	2314.0	2314.0	0	C(C1C(C(C(C(O1)O)O)O)O)O	d3aabd2bfef2d44bcfe52a4c266a95fb	neither
Random-edge	0	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	56b536cd02ed8a727acb9142344361a3	2228.0	2489.0	1952.0	1935.0	1935.0	0	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)O)O	56b536cd02ed8a727acb9142344361a3	neither
Random-edge	0	C(CC(=O)N)[C@@H](C(=O)O)N	df609c1139f536c8b197bf2d8db4dee9	5677.0	5721.0	2368.0	2277.0	2277.0	0	C(CC(=O)N)[C@@H](C(=O)O)N	df609c1139f536c8b197bf2d8db4dee9	neither
Random-edge	0	C(CC(=O)O)C=O	90ab4a747ef3f993ae17656b8bedbae5	3689.0	8.0	5.0	9.0	4.0	0	C(CC(=O)O)C=O	90ab4a747ef3f993ae17656b8bedbae5	ligand_only
