record_type	group	measure	count	denominator	note
candidate_library	all_sources_exact_sequence_deduplicated	fixed_candidate_library_size	6457	6457	Exact-sequence-deduplicated candidate background.
candidate_source_membership	collectf_direct_verified_sequences	final_library_source_membership	5	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	curated_response_positive_sequences	final_library_source_membership	476	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	dbtbs_sequence_resolved_regulators	final_library_source_membership	188	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	prodoric_sequence_resolved_regulators	final_library_source_membership	1	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	regprecise_all_family_uniprot_resolved_regulators	final_library_source_membership	5955	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	regprecise_tetr_uniprot_resolved_regulators	final_library_source_membership	392	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	regtransbase_sequence_resolved_regulators	final_library_source_membership	75	6457	Overlapping source membership; nonpartition count.
candidate_source_membership	regulondb_sequence_resolved_regulators	final_library_source_membership	83	6457	Overlapping source membership; nonpartition count.
curation_funnel	entity_materialization_candidate_pairs	candidate_associations	1510	1510	entity_materialization_candidate_pairs; parent_population
curation_funnel	entity_materialization_candidate_pairs	excluded_candidate_associations	335	1510	entity_materialization_candidate_pairs; excluded_partition
curation_funnel	standardized_response_resource	exact_protein_sequences	476	874	standardized_response_resource; endpoint_projection
curation_funnel	standardized_response_resource	model_ready_associations	1161	1175	standardized_response_resource; resolved_subset
curation_funnel	standardized_response_resource	retained_positive_associations	1175	1510	standardized_response_resource; retained_partition
curation_funnel	standardized_response_resource	unique_ligand_identities	552	874	standardized_response_resource; endpoint_projection
curation_funnel	standardized_response_resource	unique_response_edges	874	1161	standardized_response_resource; deduplicated_projection
model_ready_associations_by_evidence	context_supported_response	evidence_category_count	437	1161	model_ready_associations; nonordinal_evidence_partition
model_ready_associations_by_evidence	direct_binding	evidence_category_count	160	1161	model_ready_associations; nonordinal_evidence_partition
model_ready_associations_by_evidence	mechanistic_response	evidence_category_count	564	1161	model_ready_associations; nonordinal_evidence_partition
retained_associations_by_evidence	context_supported_response	evidence_category_count	444	1175	retained_positive_associations; nonordinal_evidence_partition
retained_associations_by_evidence	direct_binding	evidence_category_count	164	1175	retained_positive_associations; nonordinal_evidence_partition
retained_associations_by_evidence	mechanistic_response	evidence_category_count	567	1175	retained_positive_associations; nonordinal_evidence_partition
unique_response_edges_by_evidence	context_supported_response	evidence_category_count	296	874	unique_response_edges; nonordinal_evidence_partition
unique_response_edges_by_evidence	direct_binding	evidence_category_count	134	874	unique_response_edges; nonordinal_evidence_partition
unique_response_edges_by_evidence	mechanistic_response	evidence_category_count	444	874	unique_response_edges; nonordinal_evidence_partition
