split	H1	H10	H50	MRR	Recall_at_1pct	model	query_count
Ligand-Morgan-0.5	0.0001318267419962	0.0020903954802259	0.0107532956685499	0.0017934978481379	0.0097937404717065	Random ranking	
Random-edge	0.0001187335092348	0.001688654353562	0.0084696569920844	0.0015025424070542	0.0098909410729991	Random ranking	
TF-50	0.000127478753541	0.001813031161473	0.0090651558073654	0.0015845122322774	0.0097555645487656	Random ranking	
Ligand-Morgan-0.5	0.0206403013182674	0.0810734463276836	0.2010357815442561	0.04430159809515	0.1897696394942157	Response-degree prior	
Random-edge	0.015065963060686	0.1079947229551451	0.256754617414248	0.051792180076178	0.2756635883905013	Response-degree prior	
TF-50	0.0	0.0	0.0	0.0005091403469142	0.0	Response-degree prior	
Ligand-Morgan-0.5	0.1129943502824858	0.2015065913370998	0.2448210922787194	0.1479756449530943	0.2288001076136669	Joint 1-NN	
Random-edge	0.1767810026385224	0.3430079155672823	0.420844327176781	0.2374691182606825	0.4158970976253298	Joint 1-NN	
TF-50	0.0056657223796034	0.0764872521246459	0.1515580736543909	0.0264507678766188	0.1637157695939565	Joint 1-NN	
Ligand-Morgan-0.5	0.0338983050847457	0.0734463276836158	0.1845574387947269	0.0530769595638431	0.1732804232804232	ExtraTrees	
Random-edge	0.12532981530343	0.2889182058047493	0.4406332453825857	0.1831821043562584	0.4522427440633245	ExtraTrees	
TF-50	0.0028328611898017	0.0113314447592068	0.0283286118980169	0.008797834928797	0.0377714825306893	ExtraTrees	
Ligand-Morgan-0.5	0.096045197740113	0.1845574387947269	0.2542372881355932	0.1294517317598079	0.2330261859922877	Joint kNN	
Random-edge	0.154353562005277	0.3205804749340369	0.4116094986807387	0.2121540822574653	0.4049032541776605	Joint kNN	
TF-50	0.0056657223796034	0.0665722379603399	0.1388101983002833	0.0238376499900172	0.1529407797113179	Joint kNN	
Ligand-Morgan-0.5	0.0282485875706214	0.0885122410546139	0.2165725047080979	0.050245736537026	0.2181104833647206	MLP	
Random-edge	0.0646437994722955	0.2308707124010554	0.3997361477572559	0.1254661677067084	0.4149296394019349	MLP	
TF-50	0.0042492917847025	0.0325779036827195	0.1076487252124645	0.0176374620375536	0.1048552093169656	MLP	
Ligand-Morgan-0.5	0.0	0.0	0.0094161958568738	0.0015281671498205	0.0100282485875706	T_P	531.0
Ligand-Morgan-0.5	0.1129943502824858	0.256120527306968	0.3860640301318267	0.1715579546143659	0.3487265716079275	T_L	531.0
Ligand-Morgan-0.5	0.0979284369114877	0.2033898305084746	0.3578154425612053	0.1385034870273703	0.343348130212537	Dstar	531.0
Ligand-Morgan-0.5	0.1073446327683615	0.2598870056497175	0.4048964218455744	0.1640990198802463	0.3728275490987355	B	531.0
Ligand-Morgan-0.5	0.103578154425612	0.2693032015065913	0.4048964218455744	0.1615442479892556	0.381302125369922	F	531.0
Random-edge	0.0778364116094986	0.1860158311345646	0.2440633245382585	0.116282767465815	0.2270448548812665	T_P	758.0
Random-edge	0.1728232189973614	0.3970976253298153	0.496042216358839	0.2502413140635791	0.4898856640281442	T_L	758.0
Random-edge	0.1622691292875989	0.3852242744063324	0.5263852242744064	0.2351260279014529	0.5273087071240106	Dstar	758.0
Random-edge	0.1754617414248021	0.4155672823218997	0.5817941952506597	0.2589264343152467	0.5800571679859279	B	758.0
Random-edge	0.204485488126649	0.4511873350923482	0.5923482849604221	0.2880984996476857	0.5890721196130166	F	758.0
TF-50	0.0070821529745042	0.0594900849858356	0.1104815864022662	0.0255590223049738	0.104579792256846	T_P	706.0
TF-50	0.0	0.0	0.0084985835694051	0.0009794079346476	0.0077903682719546	T_L	706.0
TF-50	0.0014164305949008	0.0509915014164305	0.1685552407932011	0.022916672240931	0.1952313503305004	Dstar	706.0
TF-50	0.0141643059490084	0.0906515580736544	0.2436260623229461	0.0426912515765871	0.2469310670443815	B	706.0
TF-50	0.036827195467422	0.131728045325779	0.2521246458923513	0.070139599938898	0.2516525023607176	F	706.0
